promptKey,temperature,timesteps,rewards,hitActions,stickActions,randomActions,DateTime
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:02:45.339183
zero_shot_prompt,0.1,2,0.0,1,1,0,2024-04-17 10:02:52.325137
zero_shot_prompt,0.1,2,-1.0,1,1,0,2024-04-17 10:03:01.245777
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:03:09.233003
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 10:03:13.178141
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 10:03:16.654548
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:03:22.477487
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 10:03:26.842041
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:03:30.119317
zero_shot_prompt,0.1,1,-1.0,0,1,0,2024-04-17 10:03:34.540095
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:03:40.039431
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:03:45.821598
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:03:51.141405
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:03:56.461079
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:04:04.370118
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:04:07.445381
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:04:15.542344
zero_shot_prompt,0.1,3,1.0,2,1,0,2024-04-17 10:04:25.421462
zero_shot_prompt,0.1,4,1.0,3,1,0,2024-04-17 10:04:38.975701
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:04:43.904908
zero_shot_prompt,0.1,1,1.0,0,1,0,2024-04-17 10:04:46.421352
zero_shot_prompt,0.1,2,-1.0,1,1,0,2024-04-17 10:04:53.187812
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:04:55.046938
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:05:02.216888
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:05:12.460179
zero_shot_prompt,0.1,1,-1.0,1,0,0,2024-04-17 10:05:15.598950
zero_shot_prompt,0.1,2,-1.0,2,0,0,2024-04-17 10:05:25.624838
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:05:31.384694
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:05:33.877342
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:05:41.624806
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:05:49.302893
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:05:59.901860
zero_shot_prompt,0.4,1,1.0,0,0,1,2024-04-17 10:06:04.864051
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:06:10.673430
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:06:13.605388
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:06:16.363034
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:06:23.691321
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:06:28.690125
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:06:30.807715
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:06:33.848089
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:06:38.365686
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:06:43.251246
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:06:48.407117
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:06:54.241602
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:06:59.822151
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:07:04.122258
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:07:10.229607
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:07:13.691002
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:07:16.452615
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:07:24.047046
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:07:26.152428
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:07:28.454693
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:07:31.701350
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:07:36.752666
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:07:42.106805
zero_shot_prompt,0.4,4,-1.0,4,0,0,2024-04-17 10:07:58.266690
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:08:04.296916
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:08:07.865850
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:08:17.862326
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:08:32.794124
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:08:37.738305
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:08:41.339978
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:08:47.159173
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:08:52.202764
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:08:55.380776
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:09:00.936287
zero_shot_prompt,0.4,2,-1.0,2,0,0,2024-04-17 10:09:07.724100
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:09:15.866848
zero_shot_prompt,0.4,1,-1.0,0,1,0,2024-04-17 10:09:18.445474
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:09:23.884264
zero_shot_prompt,0.4,3,-1.0,3,0,0,2024-04-17 10:09:33.545636
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:09:40.853308
zero_shot_prompt,0.4,2,1.0,1,1,0,2024-04-17 10:09:46.634014
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:09:49.428831
zero_shot_prompt,0.4,1,1.0,0,1,0,2024-04-17 10:09:54.499429
zero_shot_prompt,0.4,2,-1.0,1,1,0,2024-04-17 10:10:04.213257
zero_shot_prompt,0.4,1,-1.0,1,0,0,2024-04-17 10:10:08.418755
zero_shot_prompt,0.4,1,0.0,0,0,1,2024-04-17 10:10:13.650159
